GHGRP Facility ID,FACILITY NAME,GHGRP - City,GHGRP - State,ORIS CODE,ORIS CODE 2,ORIS CODE 3,ORIS CODE 4,ORIS CODE 5,GHGRP - Power Plant Sector,Reported Subparts RY10,Reported Subparts RY11,Reported Subparts RY12,Reported Subparts RY13,Reported Subparts RY14,Reported Subparts RY15,Reported Subparts RY16,Reported Subparts RY17,Reported Subparts RY18,Reported Subparts RY19,Reported Subparts RY20
1006714,Wheelabrator - Frackville,FRACKVILLE,PA,50879,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
1006715,"Troy Energy, LLC",LUCKEY,OH,55348,,,,,Yes,D,D,D,D,"C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1006721,Sabine,BRIDGE CITY,TX,3459,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1006725,Laredo,Laredo,TX,3439,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
1006727,San Juan,WATERFLOW,NM,2451,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
1006728,Homer City,HOMER CITY,PA,3122,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1006733,CAPITOL POWER PLANT,WASHINGTON,DC,No Match,,,,,Yes,C,C,C,C,C,C,C,C,C,C,C
1006735,Gordon Evans Energy Center,Colwich,KS,1240,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1006736,Neosho Energy Center,PARSONS,KS,1243,,,,,Yes,D,D,D,No submission,No submission,No submission,No submission,No submission,No submission,No submission,No submission
1006745,CalPeak Power - Panoche LLC,FIREBAUGH,CA,55508,,,,,Yes,D,D,D,No submission,No submission,No submission,No submission,No submission,No submission,No submission,No submission
1006751,Ashtabula,ASHTABULA,OH,2835,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D",No submission,No submission,No submission,No submission,No submission
1006760,International Paper ROME LINERBOARD MILL,ROME,GA,10426,,,,,,"AA,C","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT"
1006768,Tilton Power Station,TILTON,IL,7760,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
1006772,ONONDAGA CO RESOURCE RECOVERY FACILITY,JAMESVILLE,NY,50662,,,,,,C,C,C,C,C,C,C,C,C,C,C
1006774,Red Wing Plant,Red Wing,MN,1926,,,,,Yes,C,C,C,C,C,C,C,C,C,C,C
1006775,"Milford Power, LLC",MILFORD,MA,54805,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1006788,International Paper-Riverdale Mill,SELMA,AL,54096,,,,,,"AA,C","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT"
1006791,Frontier Generating Station,OKLAHOMA CITY,OK,50558,,,,,Yes,C,C,C,C,C,C,C,C,C,C,"C,D"
1006794,W H Sammis,STRATTON,OH,2866,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1006802,Sanford,DEBARY,FL,620,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
1006803,INTERNATIONAL PAPER SAVANNA MILL,SAVANNAH,GA,50398,,,,,,"AA,C","AA,C","AA,C","AA,C","AA,C","AA,C","AA,C","AA,C","AA,C","AA,C","AA,C"
1006804,Harry Allen,LAS VEGAS,NV,7082,,,,,Yes,D,D,D,D,D,D,D,D,D,D,D
1006808,Oleander Power Project,COCOA,FL,55286,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1006811,Gadsby,SALT LAKE CITY,UT,3648,,,,,Yes,D,D,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1006812,CHOWCHILLA II,CHOWCHILLA,CA,56185,,,,,Yes,No submission,No submission,No submission,No submission,No submission,C,C,C,C,C,C
1006832,"ROVA Venture, LLC Roanoke Valley II",WELDON,NC,54755,,,,,Yes,C,C,C,C,C,C,C,C,No submission,No submission,No submission
1006845,Aera Energy Belridge,McKittrick,CA,50752,,,,,,"C,NN","C,NN,W","C,NN,W","C,NN,W","C,NN,W","C,NN,W","C,NN,W","C,NN,W",C,C,C
1006846,Aera Energy San Ardo,San Ardo,CA,55184,,,,,,C,C,C,C,C,C,C,C,C,C,C
1006852,Lake Road Generating Station,ST JOSEPH,MO,2098,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1006857,Signal Hill Generating LLC,WICHITA FALLS,TX,50127,,,,,Yes,C,C,C,C,C,No submission,No submission,No submission,No submission,No submission,No submission
1006860,LIVE OAK LIMITED,BAKERSFIELD,CA,54768,,,,,Yes,C,C,C,C,C,C,C,C,D,D,D
1006862,D G Hunter,Alexandria,LA,6558,,,,,Yes,D,D,D,D,D,D,C,C,C,C,C
1006864,"ANP Bellingham Energy Company, LLC",BELLINGHAM,MA,55211,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
1006868,W A Parish,THOMPSONS,TX,3470,58378,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D,PP","C,D,PP","C,D,PP","C,D,PP","C,D,PP"
1006869,Black Mountain Facility,LAS VEGAS,NV,54349,,,,,Yes,C,C,C,C,C,C,C,C,C,C,C
1006870,Exeter Energy Limited Partnership,STERLING,CT,50736,,,,,Yes,C,C,C,No submission,No submission,No submission,No submission,No submission,No submission,No submission,No submission
1006873,"UNIVERSITY OF CALIFORNIA, IRVINE",IRVINE,CA,57122,,,,,,C,C,C,C,C,C,C,C,C,C,C
1006877,AMERICAN CRYSTAL SUGAR - MOORHEAD,MOORHEAD,MN,54211,,,,,,"C,S","C,S,TT","C,S,TT","C,S,TT","C,S,TT","C,S,TT","C,S,TT","C,S,TT","C,S,TT","C,S,TT","C,S,TT"
1006882,Reid Gardner,MOAPA,NV,2324,,,,,Yes,"C,D","C,D","C,D","C,D","C,D",D,D,D,No submission,No submission,No submission
1006885,International Paper Ticonderoga Mill,TICONDEROGA,NY,54099,,,,,,"AA,C","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT","AA,C,TT"
1006889,Coffeen,COFFEEN,IL,861,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D",No submission
1006892,International Paper-Prattville Mill,PRATTVILLE,AL,52140,,,,,,"AA,C","AA,C,II,TT","AA,C,II,TT","AA,C,II,TT","AA,C,II,TT","AA,C,II,TT","AA,C,II,TT","AA,C,II,TT","AA,C,II,TT","AA,C,II,TT","AA,C,II,TT"
1006897,Montrose Generating Station,CLINTON,MO,2080,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D",No submission,No submission
1006902,UMASS MEDICAL SCHOOL,WORCESTER,MA,50087,,,,,,C,C,C,C,C,C,C,C,C,C,C
1006909,Bruce Mansfield,SHIPPINGPORT,PA,6094,,,,,Yes,"C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D","C,D"
